sample_id,dataset,param_set,trial,channel,normalize,total_irradiance,centroid_nm,peak_wavelength_nm,peak_irradiance,UVC_integral,UVC_frac,UVB_integral,UVB_frac,UVA_integral,UVA_frac,uva_uvb_ratio,uvb_uvc_ratio,uva_uvc_ratio
air__100H.1__bulk,air,100H,1.0,bulk,none,0.00127698215375,319.69452978026794,336.0,0.00010398,0.00030012228199999995,0.2350246486363631,3.20442335e-05,0.025093720696016425,0.0009327015904,0.7303951646160584,29.106690612524712,0.10677059126186442,3.107738566375422
air__100H.2__bulk,air,100H,2.0,bulk,none,0.0024515686813999997,334.21133293814324,335.0,0.000150343,0.00030012228199999995,0.12242050743959222,0.0003542859427,0.14451397808593333,0.0017202246511999998,0.7016832382675257,4.855469675399005,1.1804719740868825,5.7317458728372594
air__100H.3__bulk,air,100H,3.0,bulk,none,0.0024301816547,332.9625100913243,335.0,0.000132959,0.00030012228199999995,0.12349787984760724,0.00040195624,0.16540172592555452,0.0016887377774000001,0.694901870456458,4.201297577567151,1.3393082223731727,5.626832390272177
air__5H..01A.1__bulk,air,5H..01A,1.0,bulk,none,0.00379875551187,335.17555012683135,335.0,0.00015347,0.0005173080653,0.13617829936240003,0.0005670911701199999,0.14928340830253642,0.0025515503162,0.671680582819071,4.499365270773087,1.0962349287771678,4.932361367148396
air__5H..01A.2__bulk,air,5H..01A,2.0,bulk,none,0.0037405894694,337.9652366685883,335.0,0.0001644,0.00048147228350000005,0.1287156175353371,0.0005317253941,0.14215016067649092,0.0025101506554000004,0.6710575100353461,4.720765047621412,1.1043738389979407,5.2134894186489555
air__5H..01A.3__bulk,air,5H..01A,3.0,bulk,none,0.0043656223069,327.80306500295706,336.0,0.000165454,0.0008365912570000001,0.19163161588159883,0.000672214993,0.1539791914517075,0.002655429129,0.6082590160864381,3.950267632605451,0.8035166365598295,3.1741057616622923
air__5H..5A.1__bulk,air,5H..5A,1.0,bulk,none,0.010396789134340001,269.481730543926,201.0,0.002368221,0.0061452405982000005,0.591071004595315,0.0007995593719999998,0.07690445210234195,0.002975815939,0.2862245161028658,3.7218198462940415,0.13011034461924867,0.4842472628120768
air__5H..5A.2__bulk,air,5H..5A,2.0,bulk,none,0.00661689616785,302.8245570801926,209.0,0.000439162,0.0026004130930000003,0.3929959042783259,0.0006551152425000001,0.09900642625813846,0.0030310338550000003,0.45807487046979933,4.626718565474379,0.251927374255841,1.1655970596207115
air__5H..5A.3__bulk,air,5H..5A,3.0,bulk,none,0.007011035745269999,310.8785183705497,222.0,0.000437741,0.002545424597,0.36305970893348716,0.0008238157660000001,0.11750271941714005,0.0031398459715000003,0.44784338371378296,3.8113448432109758,0.3236457159135404,1.2335254303743968
air__5H..5A.4__bulk,air,5H..5A,4.0,bulk,none,0.0070939596276,302.7860997456207,215.0,0.000530251,0.002831769609,0.39918039538632577,0.0007070872800000001,0.099674556540889,0.0030653476219999996,0.43210671936641054,4.335175739549436,0.24969802548650774,1.0824848223025052
air__5H..9A.1__bulk,air,5H..9A,1.0,bulk,none,0.011172853853350002,299.92263274297267,203.0,0.00099685,0.003955868283,0.3540606844878666,0.001148534183,0.1027968501221942,0.005636077374,0.5044438464851227,4.907191668669734,0.29033681124716054,1.4247383812602035
air__5H..9A.2__bulk,air,5H..9A,2.0,bulk,none,0.006003016477761001,340.2201968837931,335.0,0.000269886,0.0005146174444999999,0.08572647541556332,0.0010492160694999999,0.174781474178351,0.004102196525000001,0.6833558662044575,3.9097728716210836,2.038827250637439,7.9713514744640595
air__5H..9A.3__bulk,air,5H..9A,3.0,bulk,none,0.00872183593739,300.4421824489746,201.0,0.000790754,0.0030708700025,0.35208986095867273,0.0010599366032999998,0.12152677611787144,0.0042075296849,0.482413303243021,3.9696050422263975,0.34515840867151776,1.3701425594292964
air__5H..9A.4__bulk,air,5H..9A,4.0,bulk,none,0.00773362308933,308.4005642072205,207.0,0.000523603,0.002491901282,0.32221654109805925,0.0009420684200000001,0.121814628036342,0.0038980805399999995,0.504043253074764,4.1377892064357695,0.3780520628184339,1.5642997450008933
