,PC1,PC2,PC3
total_irradiance,-5.810050062162156e-05,0.0005529197567383253,0.898053185506877
centroid_nm,0.2784187109374869,0.8583475711871602,-0.1884250982104507
peak_wavelength_nm,0.9603572540532213,-0.24364545659195114,0.059627982771327304
peak_irradiance,-1.431080569911079e-05,2.462451882652971e-05,-2.829769259622789e-08
UVC_integral,-2.8053524611913502e-05,0.0001581065143149891,8.241881838072366e-05
UVC_frac,-0.0015480962062079124,0.013461765370717397,0.010097280481006716
UVB_integral,-4.579305309009724e-06,6.21992311822925e-05,5.189580956252591e-05
UVB_frac,0.0002040325150848839,0.0006715517799468378,0.001498222074410566
UVA_integral,-2.4740918245165546e-05,0.00029206578797302243,0.00023862015521151754
UVA_frac,0.0013246411794792382,-0.03243946752719144,-0.02969861888134875
uva_uvb_ratio,0.0018442020416597985,-0.3201393479926509,-0.23824219460518406
uvb_uvc_ratio,0.0023016348163826658,-0.02624471230461015,-0.02051616524247016
uva_uvc_ratio,0.013567220692956721,-0.3153790446502292,-0.310281213704332
