,PC1,PC2,PC3,PC4,PC5
total_irradiance,-3.8501824374671773e-05,1.1311952817449136e-05,-0.00013545438735261208,0.0005635011438688737,0.004905586793320303
centroid_nm,0.2627449920609237,0.8920833591497859,0.3648981316460171,-0.04410856656242856,0.0022157365655043806
peak_wavelength_nm,0.9640074378873703,-0.2345761577047883,-0.12327092917227896,-0.021623096503729827,0.0006261165481559202
peak_irradiance,-5.858116244221218e-06,-3.067700850600013e-05,-4.586097281420938e-05,0.00014629647206652034,-0.0003333851970530471
UVC_integral,-2.2950532207084222e-05,-5.423633426436416e-05,-8.653961391348776e-05,0.0001476525625504476,-4.745731524969655e-05
UVC_frac,-0.001939623354997303,-0.00576216710271319,-0.0021447555744735004,-0.012455094122964513,0.08267239817404208
UVB_integral,-2.7509399971048147e-06,1.3068645444497485e-05,-1.6096952920166284e-05,8.287247028723236e-05,0.0013546760535831017
UVB_frac,0.0002453771782730066,0.002659884591121031,-0.003954291090698619,0.0030757457834308974,0.07053964782898871
UVA_integral,-1.0709873549224374e-05,4.9218445166646305e-05,-2.6991409999496288e-05,0.00032032922495617896,0.002976413214293494
UVA_frac,0.0018007644679802243,0.002244149659355399,0.006910456265382964,0.011819432504267218,-0.21565055619974532
uva_uvb_ratio,0.02681068771742205,-0.38074325876659193,0.920736767868358,0.07739522596667077,0.023635227033906483
uvb_uvc_ratio,0.006236444307137358,0.023721100831014065,-0.03488859179971357,0.24762975407580504,0.9400202897263593
uva_uvc_ratio,0.02983211967267831,0.059898801960788714,-0.05110970819362517,0.9643503518767067,-0.23968172092989798
